iter	Logloss
139	0.4197158117
140	0.4196447467
141	0.4193938477
142	0.4191949566
143	0.4189605649
144	0.4186805185
145	0.4185317347
146	0.4183054133
147	0.4182244051
148	0.4181161432
149	0.4180893128
150	0.4177366926
151	0.4175748271
152	0.4175615152
153	0.4173579572
154	0.417200087
155	0.4170416363
156	0.4170226758
157	0.4169798619
158	0.4166839168
159	0.4166254349
160	0.4164285075
161	0.416319473
162	0.4162943248
163	0.4162298287
164	0.4160512612
165	0.4159084227
166	0.4158237465
167	0.4155702709
168	0.4153251089
169	0.4152717976
170	0.4151286601
171	0.4150334701
172	0.4147198158
173	0.4145847285
174	0.4144370135
175	0.4143460826
176	0.4140939476
177	0.4138518148
178	0.4136918232
179	0.4135633038
180	0.4134309618
181	0.4132750242
182	0.4132070585
183	0.4131259017
184	0.4129159599
185	0.4127778629
186	0.4125147711
187	0.4123448969
188	0.4123310216
189	0.4120857763
190	0.4119829404
191	0.4118999271
192	0.4117826145
193	0.4116276327
194	0.4115894412
195	0.4114977716
196	0.4113635438
197	0.4110596009
198	0.4110499461
199	0.4109272125
200	0.4109028132
201	0.4106477652
202	0.4104598286
203	0.4104427855
204	0.410432283
205	0.4102629254
206	0.4102184483
207	0.4100827052
208	0.4097776873
209	0.4097738561
210	0.4097710212
211	0.4095556947
212	0.4094084283
213	0.4092157361
214	0.4090960959
215	0.4088973557
216	0.4088877084
217	0.4088386734
218	0.4087079854
219	0.4086328968
220	0.4085179547
221	0.4081778239
222	0.4080312357
223	0.4079485471
224	0.4078284643
225	0.4077469592
226	0.4076962873
227	0.4075940241
228	0.4073726181
229	0.4072406195
230	0.4071463974
231	0.4069457231
232	0.4069370158
233	0.4069146828
234	0.4067510485
235	0.4066067495
236	0.406558606
237	0.4064799944
238	0.4063754228
239	0.4063584961
240	0.4062637152
241	0.4061406566
242	0.4059472188
243	0.405868489
244	0.4057885953
245	0.405600065
246	0.4055432723
247	0.4054572415
248	0.4053106258
249	0.4052911615
250	0.4052594448
251	0.4051807212
252	0.4051442155
253	0.4050301788
254	0.4050000035
255	0.4047636657
256	0.4047614251
257	0.404747204
258	0.4045159707
259	0.404393947
260	0.4043615384
261	0.4043328022
262	0.4040646053
263	0.4038548366
264	0.403724626
265	0.4037210411
266	0.4035594638
267	0.4033958094
268	0.403260265
269	0.4032192148
270	0.4030502039
271	0.4029562265
272	0.4027602402
273	0.402754745
274	0.4026436535
275	0.402410667
276	0.4021062618
277	0.4020831019
278	0.4019137354
279	0.4018855456
280	0.4017739466
281	0.4017482542
282	0.4013437948
283	0.4013367318
284	0.4013248691
285	0.4013015087
286	0.4010587272
287	0.4009526886
288	0.4007348246
289	0.4004433815
290	0.4003600728
291	0.4002750339
292	0.4002644846
293	0.4001286337
294	0.4000411272
295	0.3999797154
296	0.3999007276
297	0.3997936326
298	0.3997459032
299	0.3995148341
300	0.3994821268
301	0.3993255264
302	0.3991721933
303	0.3990141143
304	0.3988853215
305	0.3988692559
306	0.39864673
307	0.3985553838
308	0.3985212592
309	0.3985012691
310	0.3981861852
311	0.3979433563
312	0.397908401
313	0.3977926443
314	0.3977184927
315	0.3974307414
316	0.397279774
317	0.3971618863
318	0.3971182721
319	0.3968605272
320	0.3968452156
321	0.3967998445
322	0.3967624112
323	0.3965536674
324	0.396546406
325	0.3964908747
326	0.3963473747
327	0.3962439366
328	0.3961467455
329	0.3960489977
330	0.3958531578
331	0.39581773
332	0.3957367679
333	0.3953813863
334	0.3951850416
335	0.3950401201
336	0.395008313
337	0.3949546722
338	0.3948604073
339	0.394804014
340	0.3946831803
341	0.3946345657
342	0.3945224425
343	0.3943781369
344	0.3942845947
345	0.3941807475
346	0.3940091591
347	0.3938970889
348	0.3938330547
349	0.3936820226
350	0.3934608698
351	0.3934017503
352	0.3933700549
353	0.3933631598
354	0.3933320792
355	0.3932542936
356	0.3931694948
357	0.392987423
358	0.3928938245
359	0.3927672211
360	0.3926732076
361	0.3926144613
362	0.3924587659
363	0.3923496804
364	0.3922318782
365	0.3921322344
366	0.3920235576
367	0.3917301682
368	0.3917205663
369	0.3916413609
370	0.3915544208
371	0.3914324013
372	0.3913655007
373	0.3913045021
374	0.3912972753
375	0.3912296102
376	0.3909006963
377	0.3908988335
378	0.3907744664
379	0.3906912771
380	0.390625402
381	0.390439994
382	0.3903271176
383	0.3902852679
384	0.3902156327
385	0.3901448331
386	0.3900263854
387	0.3899727725
388	0.3899485181
389	0.3899028222
390	0.389887556
391	0.3898434814
392	0.3898230472
393	0.3897275947
394	0.389721103
395	0.3895157641
396	0.3894299272
397	0.389355839
398	0.3892771586
399	0.3892596127
400	0.3891718558
401	0.3891361357
402	0.3891167175
403	0.3891111
404	0.3890681935
405	0.3890104654
406	0.3888930747
407	0.3888445138
408	0.3887779782
409	0.3887202322
410	0.3886282978
411	0.3885712779
412	0.388441228
413	0.3884018304
414	0.3881677884
415	0.3881043738
416	0.3879818093
417	0.3879063684
418	0.3878567604
419	0.3878373353
420	0.3878269827
421	0.3877344865
422	0.3876301941
423	0.3875626028
424	0.3875233869
425	0.3874281872
426	0.3873213489
427	0.3872724099
428	0.3871759187
429	0.3870590634
430	0.3869394928
431	0.3868351119
432	0.3867891049
433	0.3867281994
434	0.3866863528
435	0.3866192608
436	0.3865720372
437	0.3865047194
438	0.3864827264
439	0.3864321658
440	0.3862965387
441	0.3862583587
442	0.3862201675
443	0.3862050642
444	0.3861642043
445	0.3861157727
446	0.3860830995
447	0.3860504754
448	0.3860159489
449	0.3858515034
450	0.3858112679
451	0.385753631
452	0.3857423935
453	0.3857065997
454	0.3856913317
455	0.3854939362
456	0.3854371615
457	0.3853705092
458	0.3853532405
459	0.3852987664
460	0.3852756752
461	0.3852734139
462	0.3852553316
463	0.3851729503
464	0.3851018587
465	0.3850358902
466	0.384933893
467	0.3848787805
468	0.3848671394
469	0.3846698288
470	0.3845168524
471	0.3844291208
472	0.3844278609
473	0.3844026261
474	0.384398584
475	0.3843969295
476	0.3843852012
477	0.3842567615
478	0.3841831948
479	0.3840149456
480	0.3839801896
481	0.3837960711
482	0.3836725783
483	0.3835899475
484	0.3834476804
485	0.3833284058
486	0.3832231926
487	0.3831444743
488	0.3830754487
489	0.3830564586
490	0.3829655906
491	0.3829511297
492	0.3828561962
493	0.3828550704
494	0.3827509674
495	0.3827299807
496	0.3827027641
497	0.3826208995
498	0.3825316625
499	0.3825282215
