iter	Logloss
0	0.681321708
1	0.6704307068
2	0.6599315734
3	0.6500102827
4	0.6404526319
5	0.6315018038
6	0.6223222628
7	0.6139645225
8	0.6062436697
9	0.5982947397
10	0.5911962776
11	0.5843312046
12	0.5780017835
13	0.5714694836
14	0.5652503779
15	0.5596656594
16	0.5542417116
17	0.5488655496
18	0.5436611578
19	0.5386799225
20	0.5340648962
21	0.5294535495
22	0.5250842913
23	0.5212189164
24	0.5173564553
25	0.5136749538
26	0.5101417069
27	0.506604491
28	0.5034433278
29	0.5003585769
30	0.4974310983
31	0.4947711168
32	0.4917728487
33	0.4890250142
34	0.4867716661
35	0.4845311641
36	0.4820796775
37	0.4795770278
38	0.477699596
39	0.4754828772
40	0.4736443778
41	0.471578386
42	0.469654187
43	0.4679796838
44	0.4663752066
45	0.4646157211
46	0.463064323
47	0.461558384
48	0.4602379742
49	0.4592563869
50	0.4578611846
51	0.4570218927
52	0.4556835348
53	0.4548604029
54	0.4538042094
55	0.4528108242
56	0.4518287968
57	0.450835709
58	0.4496316764
59	0.4488336217
60	0.4481301629
61	0.4474484592
62	0.4464694065
63	0.4455457928
64	0.4447828815
65	0.4440360129
66	0.4432474264
67	0.4424828696
68	0.4417232558
69	0.4411766814
70	0.4406832123
71	0.4400678005
72	0.4393060256
73	0.4386258364
74	0.438306627
75	0.4378990901
76	0.4374422867
77	0.4370210617
78	0.4363360791
79	0.4359508182
80	0.4355719928
81	0.4351481599
82	0.434661067
83	0.4342846223
84	0.4336775012
85	0.4331976328
86	0.4326570182
87	0.4323215845
88	0.4318124003
89	0.431389878
90	0.430846105
91	0.4304455819
92	0.4302464514
93	0.4299778535
94	0.4295190974
95	0.4293393518
96	0.4288016193
97	0.4285662341
98	0.4283411014
99	0.4280940073
100	0.427631411
101	0.4274440876
102	0.4272615121
103	0.4268463672
104	0.4266243999
105	0.4264845167
106	0.4262889974
107	0.4260216031
108	0.4258289447
109	0.4253665326
110	0.4252612537
111	0.4249880755
112	0.4247219085
113	0.4245480652
114	0.4243719025
115	0.4243083272
116	0.4241887313
117	0.4239511876
118	0.4238671138
119	0.4235981142
120	0.4234524195
121	0.4232813119
122	0.423168637
123	0.4230113152
124	0.4227799679
125	0.4226071539
126	0.4222634561
127	0.4220690698
128	0.4217117389
129	0.4214937306
130	0.4214673076
131	0.4212219952
132	0.4210260445
133	0.4208397483
134	0.420822025
135	0.4206107549
136	0.4204000641
137	0.4202494903
138	0.4200212235
